feature,mean_cluster_0,mean_cluster_1,mean_cluster_2,mean_cluster_3
Suma pośrednia,-0.07826047077959383,-0.0540019133999994,0.48343464457189445,-0.06871903864038365
Rezerwy długoterminowe,-0.08921275382487034,-0.0623368592508715,0.5560920422549593,-0.0811991729527727
Amortyzacja i umorzenia,-0.12140241648105657,-0.07942347415815207,0.7534688222301803,-0.11370745176407243
Kapitał własny przypisany akcjonariuszom jednostki dominującej,-0.16863506577384832,-0.0843519587838509,0.9769724370428864,-0.13380872492968846
Udziały niekontrolujące,-0.06471341412470505,-0.05563839023414082,0.4191783694295608,-0.059676559894199115
Rezerwy na zobowiązania,-0.08856192041433694,-0.06482258372894245,0.5532091390138772,-0.07841619206265321
Aktywa biologiczne,-0.016514008294710322,0.001360538933126803,0.12037296709991115,-0.04121142348017327
Dotacje rządowe,-0.06870099415343477,-0.03657674840611486,0.3588263907143472,-0.023466153386562404
Kapitał z aktualizacji wyceny,-0.04820463949731457,-0.07697598501946135,-0.1448123895635409,0.3277596900968232
Pozostałe należności,-0.09528397162319861,-0.03162006335260312,0.5128506259155824,-0.06351783052331234
Pozostałe zobowiązania,-0.08187835448582809,-0.05962905613911781,0.503844487551091,-0.06722407484209879
Pozostałe aktywa trwałe,-0.10409219227500105,-0.07772517824088299,0.642254950114849,-0.08472985878422205
Pozostałe aktywa obrotowe,-0.04909467289589359,-0.0408436694442992,0.31608533757868046,-0.04528041070297056
Pozostałe zobowiązania finansowe,-0.07494849851301488,-0.024524869806298373,0.38429232214842757,-0.036304176377493835
Pozostałe przychody i koszty operacyjne,0.037582743090101456,0.03497350870038889,-0.26910847267806154,0.05072767359321264
Pozostałe przychody/koszty,-0.0373385106492643,0.002382610662001668,0.18404007201701675,-0.02780358009104998
Inne zobowiązania krótkoterminowe,-0.05413612389755587,-0.04075278071747565,0.3354034538631883,-0.0447368881654027
Inne zobowiązania długoterminowe,-0.06574862291691412,-0.051638685936967,0.3840377343708307,-0.035004368380538796
Pozostałe przychody/koszty podatkowe,-0.01694103996834762,-0.0172354827063898,-0.0172354827063898,0.08030501047001339
Pozostałe przepływy z działalności inwestycyjnej,0.023559389965304225,0.02519588287972453,-0.1591028366489979,0.021365557086083103
Pozostałe składniki kapitału własnego,-0.15029445354212018,-0.0381375393809423,0.799462084055652,-0.10542067254855025
Pozostałe przepływy z działalności operacyjnej,0.08945571353051111,0.0552735380316264,-0.55592755125091,0.08769568237794094
Zobowiązania podatkowe za okres,-0.08409344676846425,-0.05408106780947155,0.5160206992051373,-0.07540808900532395
Zysk (strata) netto za okres,-0.13405214035085006,-0.09420847021903384,0.8597737518338641,-0.13919287334001396
Podatek dochodowy za okres,0.08884224378021008,0.06312926386915788,-0.5554911538408044,0.08102439753840472
Przychody przyszłych okresów,-0.0583569047795823,-0.025427819016593085,0.33674417991956074,-0.04922604485658788
"Odroczone przychody (z kontraktów z klientami, poza bilansem)",-0.0905836736832288,-0.07098361254810781,0.4904062220176781,-0.020004485814732274
Odroczony podatek dochodowy,-0.014592759681888785,0.014241503487293274,0.059551020476467514,-0.015600833093070738
Aktywa z tytułu odroczonego podatku,-0.09398711626848204,-0.06468739390894211,0.5802018423877459,-0.08242197078390354
Zobowiązania z tytułu odroczonego podatku,-0.16636853337454865,-0.0787967538599233,0.9715299704739672,-0.14224022470116346
Należności z działalności finansowej,-0.0383576462623039,-0.03827849433786285,0.25935126268817776,-0.03786215153519666
Zobowiązania z działalności sektora finansowego,-0.038615432403508884,-0.03862138034150083,0.2615154755634944,-0.03833677222404431
Zobowiązania finansowe,-0.09059882702555659,-0.053376517474174205,0.543446556101385,-0.0771491338366326
Inwestycje finansowe,-0.0798450471491937,-0.06130146933555763,0.5042654161872445,-0.0717707576044734
Zyski/straty z lat ubiegłych,-0.11623337557877808,-0.07614550303978702,0.7259778761922144,-0.11212606575618281
Agio emisyjne,-0.13659354491460696,0.018031361854345677,0.6506430836550086,-0.09478375604132389
Rezerwy z zysków,-0.14810411843108975,-0.0809379834718507,0.8620025066804387,-0.11331821148615707
Zmiany w rezerwach,-0.08738462603348786,-0.07290976348597597,0.5680542806398582,-0.08437296373615165
Korekta udziałów wzajemnych (-),0.046994972068307,-0.04151345631548879,-0.2631873389240325,0.09811671169945003
Aktywa z tytułu prawa do użytkowania,-0.03892161490109116,-0.0332817693877742,0.254362647767078,-0.03773127756669736
Rzeczowe aktywa trwałe,-0.15886765217704213,-0.07501430466947605,0.9185685795772824,-0.129345871931724
Wartości niematerialne i prawne,-0.10654197450429827,-0.08701401832969236,0.6824176181429015,-0.09735853361160948
Zobowiązania z kontraktów z klientami,-0.057192152376614735,-0.04107635438401899,0.35660557970054624,-0.05097842773211182
Zobowiązania z tytułu umów z klientami,-0.055169597800013105,-0.027557119733487737,0.3341070071114606,-0.054445175199612686
Aktywa z kontraktów z klientami,-0.06956618708240211,-0.02410794981919178,0.3828372501184109,-0.05148199648823682
Środki pieniężne i ich ekwiwalenty,-0.10735481746290994,-0.07459722621333013,0.6644926886022012,-0.09470657196885147
Inwestycje w kapitał trwały,0.13662909130616346,0.08416600267433703,-0.8371653391028719,0.12545765145505594
Aktywa trwałe przeznaczone do sprzedaży,-0.03472588319295644,-0.03059768176243186,0.21304728863568734,-0.0225312694418678
Zobowiązania związane z aktywami przeznaczonymi do sprzedaży,-0.02395257638029206,-0.02529505433278575,0.15378846766899287,-0.01620841864817456
Zapasy,-0.1407339800838377,-0.06934345724202398,0.814381791664929,-0.11206623319560918
Należności handlowe,-0.14620618002911903,-0.05398855919191947,0.8197045816426123,-0.11583150061094392
Zobowiązania handlowe,-0.13104927850453035,-0.06893507098998608,0.7774834931386057,-0.11387102991088152
Różnice kursowe z przeliczenia walut obcych,-0.04099180877865608,-0.025139509638234112,0.24447640791486455,-0.03284669632856046
Nieruchomości inwestycyjne,-0.1266159760790976,-0.037242955042461716,0.6730758939965661,-0.0831864791652398
Przychody z działalności inwestycyjnej,-0.11665541705715816,-0.06144631015425745,0.6859233256956155,-0.0967549759907552
Koszty działalności inwestycyjnej (-),0.07374191259729578,-0.07663444455229111,-0.26846375235398223,0.059860125958139054
Rezerwy na świadczenia pracownicze,-0.0747672835584403,-0.07241508185257378,0.3249491640434653,0.05640757029468365
Kapitał zakładowy (opłacony),-0.26555088092455514,-0.09963902808232472,1.0956126660572323,0.07974164432391022
Inwestycje wyceniane metodą praw własności,-0.0788881137145096,-0.03958368060359289,0.4596263348717693,-0.06437191679293085
Zmiany w kapitale obrotowym,0.04386358463873148,-0.006052192768902146,-0.24123042445973272,0.05440189809670673
Wartość firmy (goodwill),-0.07636414404930458,-0.051571027890277225,0.47204773508374376,-0.06845885453889117
Inne wpływy/wydatki gotówkowe,0.0151624933917806,0.015154239283847952,-0.09835621901343898,0.011888090170561168
Zysk przed korektami,-0.11243526101741062,-0.0838099205263989,0.7338164082583037,-0.12108067517622649
Korekty:,-0.07003137377219068,-0.03366711394269179,0.40953599897499254,-0.0597823713051487
Gotówka z działalności operacyjnej,-0.0884471115597634,-0.06305532217031407,0.5578018182387959,-0.08395729609390672
Wpływ różnic kursowych na środki pieniężne,-0.009884839667618267,-0.010352044283223637,0.06719252321193775,-0.009513142634883294
Przepływy pieniężne z działalności inwestycyjnej,0.09207295808667892,0.06518845646677833,-0.5761447772644214,0.08454891121803917
Przepływy pieniężne netto z działalności operacyjnej,-0.08246291058898109,-0.05961454629265856,0.520488999307971,-0.07773358570447163
Zysk z działalności przed zmianami w kapitale obrotowym,-0.1010132748780538,-0.0634875579212641,0.6289850849444257,-0.09881665464342095
Pozostałe przychody finansowe,-0.10730725252486407,-0.07228792505340545,0.651718940210268,-0.08787122676526653
Pozostałe koszty finansowe (-),0.0993558679641535,0.04924807779780747,-0.567603130633512,0.07343005247891277
Koszty amortyzacji,-0.015303510032386388,-0.01469437067265777,-0.0030410020463354373,0.0624424467472916
Udziały jednostki dominującej,-0.13430099992012523,-0.09494461403848269,0.8609835818776439,-0.13858534352600435
Koszty badań i rozwoju (-),0.09539982917973423,0.06459341636902784,-0.5887563145403466,0.08464538889907545
Udziały niekontrolujące.1,-0.0423628019755391,-0.03888380603011626,0.2814466141075461,-0.04167818628793171
Zysk (strata) brutto,-0.11119857094092787,-0.0702054546397538,0.6797014298139141,-0.09913063874670638
Działalność zaniechana,0.0,0.0,0.0,0.0
Pozostałe przychody operacyjne,-0.16243396660703924,-0.06586658700252977,0.9319443721893634,-0.13817639140131088
Pozostałe koszty operacyjne (-),0.11412637911937397,0.05605208070880207,-0.6613901569921147,0.09178406707626542
Pozostałe przepływy z działalności finansowej,0.10678033198580754,0.049971154725029804,-0.6438237405456283,0.10678913897793099
Pozostałe przychody i koszty operacyjne.1,0.016355940374954615,-0.08598285105658424,-0.02009957851587012,0.055935860821953245
Zmiana pozostałych środków pieniężnych,0.015663314942200822,0.0149136392267143,0.00223329377894085,-0.06313449057383667
Aktywa trwałe,-0.11953958519916524,-0.07603667893837478,0.7228404748342369,-0.10022385603721594
Zysk (strata) po opodatkowaniu z działalności zaniechanej,-0.022780032052536335,-0.02039292713395547,0.158420958579431,-0.028139907912793805
Zysk (strata) okresu,-0.11784288980036453,-0.08635538565677395,0.7588748094050706,-0.12093665943677628
Środki pieniężne na początek okresu,-0.07284553374099581,-0.054901349937870374,0.4626163129623925,-0.0684199520262399
Podział zysku/straty okresu,0.0,0.0,0.0,0.0
Środki pieniężne na koniec okresu,-0.07937495514997957,-0.058142037706344143,0.5027942351556905,-0.07535161358049251
Aktywa obrotowe,-0.0783388678766885,-0.054095648772993374,0.48390929700078034,-0.06873967376372064
Zysk (strata) operacyjny,-0.10881097898036592,-0.06378477614313126,0.6627301022758911,-0.1003575259736497
Pozostałe przychody/koszty przed zyskiem operacyjnym,-0.03176072269967705,-0.019971530085193857,0.17824588471849367,-0.016738185189463132
"Odsetki, prowizje i inne przychody",-0.03636668516257086,-0.027352784736840646,0.23287334716680394,-0.03562469361684441
"Odsetki, prowizje i inne koszty (-)",0.032950026911078276,0.02159635464135886,-0.20652928436247042,0.032308821489939445
Zysk (strata) brutto z działalności finansowej,-0.037845561507072835,-0.03575484306223178,0.2525316687486064,-0.0369824586233448
Pozostały zysk (strata) z działalności finansowej,-0.017498428991193464,-0.0083802822951286,0.0939325740917112,-0.008810453141583855
Zmiana zobowiązań finansowych,-0.07853204002784801,-0.05229998972714448,0.4962097049447235,-0.07906047448187761
Przepływy pieniężne z działalności finansowej,0.020797778895236,0.01792910662008798,-0.13614972642127482,0.020180693991176855
Zysk/strata operacyjna przed kosztami finansowymi,-0.10645392220597859,-0.07053549214480517,0.6673433883204897,-0.10366047318707046
Koszty finansowe,0.09927693061933118,0.04914923667833011,-0.5674144989549431,0.07362615268232459
Koszty ogólnego zarządu,0.08897456276712702,0.05592380666996738,-0.5392391715106108,0.0761903415613223
Zysk na akcję,0.00894017648491716,0.0183057137747017,-0.027015892327216618,-0.0254435677886204
Źródła finansowania (pasywa),0.0,0.0,0.0,0.0
Odprawy pracownicze,-0.11061139558056456,-0.06044376287060726,0.6495428681862644,-0.08886044617900175
Zobowiązania krótkoterminowe,-0.06583259543701776,-0.04949863031073931,0.41521904380468416,-0.05985605282185167
Zmiana środków pieniężnych i ich ekwiwalentów,-0.041692758785237836,-0.03163021076720726,0.2685469548128535,-0.04171089465104589
Zysk/strata z działalności operacyjnej,-0.09513067199526808,-0.05983323767817633,0.5830259832379467,-0.08617245518670909
Pozycja netto w walutach obcych (z zabezpieczeniami),0.05402525119328386,0.009376299035483232,-0.2604402100534895,0.02262875734509499
Pozycja netto w walutach obcych,0.07950872875538277,0.04169188406128259,-0.44515482685899355,0.049743004926337174
Pieniężna pozycja netto walutowa (aktywa/zobowiązania),0.05661168817087678,0.030166100114413223,-0.3182971694305344,0.035901190205635515
Koszty sprzedaży i dystrybucji,0.11152177352079386,0.07077715309199459,-0.6820160470288389,0.09928593887774544
Przychody ze sprzedaży,-0.12691609920067784,-0.06390999939798706,0.7511635607210083,-0.11191885215477433
Koszt własny sprzedaży,0.12248160843752813,0.05969519390385875,-0.7222804281348195,0.1081303453385508
Wolne przepływy pieniężne,-0.0550752800970448,-0.04107338808362642,0.3522045890801872,-0.05397171703956069
Podwyższenie kapitału,-0.10783329531420899,0.04772682639527619,0.4768849270989472,-0.08261549241236925
Rozwodniony zysk na akcję,0.015478343831992857,0.004090289066170958,-0.025669157488567268,-0.03088597882611051
Zysk/strata z działalności kontynuowanej,-0.11723676847571432,-0.0857596530477574,0.7544913591196011,-0.1201196195637414
Zysk/strata brutto z działalności kontynuowanej,-0.11242106483000101,-0.08528546274876782,0.7246156418288732,-0.11284046751990168
Działalność kontynuowana,0.0,0.0,0.0,0.0
