feature,global_mean,global_var,mean_cluster_0,var_cluster_0,mean_cluster_1,var_cluster_1,mean_cluster_2,var_cluster_2,mean_cluster_3,var_cluster_3,mean_cluster_4,var_cluster_4,mean_cluster_5,var_cluster_5
suma pośrednia,1.746663558898968e-17,1.0002458814851243,-0.07329514856872274,7.86484609766019e-05,-0.06210796329123711,0.0002471250148867965,0.34250717489422455,5.83217688583198,-0.07595629986585362,4.707039677911664e-05,-0.07129487778160505,0.00012161905986022267,0.0775790963384872,0.22781767224944405
rezerwy długoterminowe,3.53699370677041e-17,1.0002458814851474,-0.08200926316918353,0.0004009581626006268,-0.07256306733094234,0.0005789829586231038,0.39720715822110064,5.786365281536785,-0.08677652920236581,6.154531540453389e-05,-0.08084813332282591,0.00021996662222241434,0.020896626270496873,0.20628192136932139
amortyzacja i umorzenia,6.54998834587113e-18,1.0002458814851278,-0.19618838635265792,0.000327169989149269,-0.06819184786088166,0.00818965387891452,0.5403886245395708,5.45649454278027,-0.0073325284544456335,0.0018895608718506414,-0.18917795693104375,0.0007442568517012679,0.265168932116775,1.2650101718111781
kapitał własny przypadający akcjonariuszom jednostki dominującej,1.6593303809540197e-17,1.0002458814851234,-0.1670930884930257,0.0015872468398519016,-0.12553918558305874,0.0064367364177047555,0.756906551610108,5.058022081399367,-0.17566990001835883,0.003008694017134202,-0.15934492836660055,0.0015674255759958356,0.278103340686247,2.0909793619771357
udziały niekontrolujące,1.1353313132843291e-17,1.000245881485074,-0.060599236374769445,2.10991742895188e-05,-0.051704104584989516,0.0012033269185842837,0.2605222690149665,5.601883013365444,-0.060771179781250684,6.202262540317125e-05,-0.05944557477974191,0.00042838685550571065,0.2601549667060568,2.904143258005634
rezerwy na zobowiązania,3.84265982957773e-17,1.0002458814851367,-0.0838353947359815,0.00011428715619256416,-0.0707771965634351,0.0013043102989991077,0.38736858358076337,5.763836083849042,-0.08512265121351696,0.00030978747031999964,-0.08211930449478494,0.0003912441335735825,0.11405741648671902,0.4725523748269565
aktywa biologiczne,6.986654235595872e-17,1.0002458814851876,-0.03958517233000665,0.010210558896516588,-0.04217015902913605,0.002871920980083169,0.07152703453867165,2.7834267957666605,-0.039163510892959996,0.015565949417126766,0.022514425421265298,1.5400868015706994,-0.04684258670072687,5.615939208529174e-05
dotacje i subwencje rządowe,7.597986481210511e-17,1.0002458814852169,-0.056744761309101416,0.021121773762402655,-0.022112328373722335,0.17650068796339818,0.2923725659514404,5.73382309903965,-0.06921653077222611,0.0017403469870765176,-0.06206745158655024,0.015079990033491728,-0.0715471120466026,0.0
fundusze z aktualizacji wyceny,4.017326185467626e-17,1.0002458814851054,-0.07104922098498265,0.0009340806096866727,-0.05876552681807228,0.014437541305036224,-0.16109557357317297,1.7526387533135883,-0.028720547812889415,0.032125753385443746,-0.0732543767145537,0.000791181387638247,4.142780969523311,22.15159337656113
pozostałe należności,4.017326185467626e-17,1.0002458814851225,-0.08646938118772661,0.04804604855906422,-0.04608333762801343,0.0682360607661778,0.45472035530528937,5.645450217685556,-0.11404652746467285,0.0005302926065967976,-0.09394082229054784,0.009508012820091566,-0.006862306761862526,0.0758919684217964
pozostałe zobowiązania,3.84265982957773e-17,1.0002458814851303,-0.07324170874582721,0.0011899644369270082,-0.06313119389329008,0.002464043738796723,0.3226499152879459,5.594717707192083,-0.07494431795765329,0.0034773059907789628,-0.07039446161724054,0.0016552503679801412,0.23861072794873037,2.4727882019380254
pozostałe aktywa trwałe,2.9693280501282454e-17,1.0002458814851183,-0.1019112619970013,0.00040771620601984156,-0.08803400819133451,0.003882005129761076,0.48814401252379286,5.6708106023250995,-0.10361214869185716,0.0004998402159049548,-0.10113968067690478,0.0021462584847427167,0.015749032056818633,0.3173913555977938
pozostałe aktywa obrotowe,4.803324786972162e-17,1.0002458814851234,-0.050215629124425114,3.4810194246510655e-05,-0.046186367387034605,9.784290974040518e-05,0.24335090544230362,5.925076964151056,-0.05096752514860215,3.619797088144565e-05,-0.04989611086739134,1.55537846656382e-05,-0.0016244832635940666,0.031589713183256915
pozostałe zobowiązania finansowe,8.383985082715046e-17,1.0002458814850452,-0.05735453229921524,0.06279480337658158,-0.06758436732167594,0.013716013726254004,0.29474664136242207,3.990463975905459,-0.07333761794557289,0.029731902216105298,-0.07354845324963522,0.013829219423067566,0.47304748934863233,16.725198702960824
pozostałe przychody i koszty,-4.5413252531373166e-17,1.0002458814851953,0.07234380206447999,0.10017260867536028,0.021897723784604695,0.0022088926851999103,-0.1993429422835696,5.818506882583954,0.0024693054774938355,0.0001386593225878676,0.06567713677295718,0.03140348896303644,0.005637084947575093,0.00029922551506018436
